"","ID","image_id","FileName_original.x","Experiment","Platform","Handling","Aspiration","Dispension","Well","Day","ImageNumber","FileName_original.y","FileName_probabilities","PathName_original","PathName_probabilities","AreaShape_Area","AreaShape_BoundingBoxArea","AreaShape_BoundingBoxMaximum_X","AreaShape_BoundingBoxMaximum_Y","AreaShape_BoundingBoxMinimum_X","AreaShape_BoundingBoxMinimum_Y","AreaShape_Center_X","AreaShape_Center_Y","AreaShape_Compactness","AreaShape_ConvexArea","AreaShape_Eccentricity","AreaShape_EquivalentDiameter","AreaShape_EulerNumber","AreaShape_Extent","AreaShape_FormFactor","AreaShape_MajorAxisLength","AreaShape_MaxFeretDiameter","AreaShape_MaximumRadius","AreaShape_MeanRadius","AreaShape_MedianRadius","AreaShape_MinFeretDiameter","AreaShape_MinorAxisLength","AreaShape_Orientation","AreaShape_Perimeter","AreaShape_Solidity","Intensity_IntegratedIntensityEdge_original_gray","Intensity_IntegratedIntensity_original_gray","Intensity_LowerQuartileIntensity_original_gray","Intensity_MADIntensity_original_gray","Intensity_MassDisplacement_original_gray","Intensity_MaxIntensityEdge_original_gray","Intensity_MaxIntensity_original_gray","Intensity_MeanIntensityEdge_original_gray","Intensity_MeanIntensity_original_gray","Intensity_MedianIntensity_original_gray","Intensity_MinIntensityEdge_original_gray","Intensity_MinIntensity_original_gray","Intensity_StdIntensityEdge_original_gray","Intensity_StdIntensity_original_gray","Intensity_UpperQuartileIntensity_original_gray","Location_CenterMassIntensity_X_original_gray","Location_CenterMassIntensity_Y_original_gray","Location_CenterMassIntensity_Z_original_gray","Location_Center_X","Location_Center_Y","Location_Center_Z","Location_MaxIntensity_X_original_gray","Location_MaxIntensity_Y_original_gray","Location_MaxIntensity_Z_original_gray","Number_Object_Number","Parent_spheroids","RadialDistribution_FracAtD_original_gray_1of4","RadialDistribution_FracAtD_original_gray_2of4","RadialDistribution_FracAtD_original_gray_3of4","RadialDistribution_FracAtD_original_gray_4of4","RadialDistribution_MeanFrac_original_gray_1of4","RadialDistribution_MeanFrac_original_gray_2of4","RadialDistribution_MeanFrac_original_gray_3of4","RadialDistribution_MeanFrac_original_gray_4of4","RadialDistribution_RadialCV_original_gray_1of4","RadialDistribution_RadialCV_original_gray_2of4","RadialDistribution_RadialCV_original_gray_3of4","RadialDistribution_RadialCV_original_gray_4of4","Texture_AngularSecondMoment_original_gray_3_00_256","Texture_AngularSecondMoment_original_gray_3_01_256","Texture_AngularSecondMoment_original_gray_3_02_256","Texture_AngularSecondMoment_original_gray_3_03_256","Texture_Contrast_original_gray_3_00_256","Texture_Contrast_original_gray_3_01_256","Texture_Contrast_original_gray_3_02_256","Texture_Contrast_original_gray_3_03_256","Texture_Correlation_original_gray_3_00_256","Texture_Correlation_original_gray_3_01_256","Texture_Correlation_original_gray_3_02_256","Texture_Correlation_original_gray_3_03_256","Texture_DifferenceEntropy_original_gray_3_00_256","Texture_DifferenceEntropy_original_gray_3_01_256","Texture_DifferenceEntropy_original_gray_3_02_256","Texture_DifferenceEntropy_original_gray_3_03_256","Texture_DifferenceVariance_original_gray_3_00_256","Texture_DifferenceVariance_original_gray_3_01_256","Texture_DifferenceVariance_original_gray_3_02_256","Texture_DifferenceVariance_original_gray_3_03_256","Texture_Entropy_original_gray_3_00_256","Texture_Entropy_original_gray_3_01_256","Texture_Entropy_original_gray_3_02_256","Texture_Entropy_original_gray_3_03_256","Texture_InfoMeas1_original_gray_3_00_256","Texture_InfoMeas1_original_gray_3_01_256","Texture_InfoMeas1_original_gray_3_02_256","Texture_InfoMeas1_original_gray_3_03_256","Texture_InfoMeas2_original_gray_3_00_256","Texture_InfoMeas2_original_gray_3_01_256","Texture_InfoMeas2_original_gray_3_02_256","Texture_InfoMeas2_original_gray_3_03_256","Texture_InverseDifferenceMoment_original_gray_3_00_256","Texture_InverseDifferenceMoment_original_gray_3_01_256","Texture_InverseDifferenceMoment_original_gray_3_02_256","Texture_InverseDifferenceMoment_original_gray_3_03_256","Texture_SumAverage_original_gray_3_00_256","Texture_SumAverage_original_gray_3_01_256","Texture_SumAverage_original_gray_3_02_256","Texture_SumAverage_original_gray_3_03_256","Texture_SumEntropy_original_gray_3_00_256","Texture_SumEntropy_original_gray_3_01_256","Texture_SumEntropy_original_gray_3_02_256","Texture_SumEntropy_original_gray_3_03_256","Texture_SumVariance_original_gray_3_00_256","Texture_SumVariance_original_gray_3_01_256","Texture_SumVariance_original_gray_3_02_256","Texture_SumVariance_original_gray_3_03_256","Texture_Variance_original_gray_3_00_256","Texture_Variance_original_gray_3_01_256","Texture_Variance_original_gray_3_02_256","Texture_Variance_original_gray_3_03_256","uwell","Projected_volume_mm3","microwells","spheroids","inwell_perc","outwell_perc"
"1",1,"1","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D7",1,"STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif","STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif","/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities",12185.8799132812,256,1036,19,1020,3,1028.20792079208,11.1782178217822,1.06694137558553,209,0.534850491182286,124.56140731777,1,0.7890625,0.937258618779509,17.5449451214477,18.0277563773199,7.07106781186548,2.94976230634363,2.82842712474619,14.142135623731,14.8245437544916,-42.9802045279746,52.0416305603426,0.966507177033493,24.297406822443,101.202240884304,0.447819322347641,0.0493362843990326,0.387561111921707,0.660486936569214,0.660486936569214,0.539942373832067,0.501001192496555,0.496817022562027,0.399871349334717,0.399871349334717,0.0770911542889542,0.0606561244642335,0.547837942838669,1028.16214315222,11.5630658738274,0,1028.20792079208,11.1782178217822,0,1025,18,0,1,3,0.04736099,0.17228334,0.33882892,0.44152674,0.869720001789653,0.915821946765246,0.991933943568796,1.06176668618407,0.0217773253221556,0.0464555015832374,0.072428631808328,0.122131270601499,0.00403746097814776,0.00440917107583774,0.00384204470742932,0.00421820816727913,138.464516129032,323.928571428571,175.096153846154,240.546762589928,0.700642735195341,0.219424286535784,0.574675890669646,0.41349411626933,4.43574695187936,4.96962136898487,4.63522178920821,4.76771546569482,0.00028097956066139,0.000177432487725745,0.000252870075355283,0.000206010186730941,8.03741472785488,7.86616881238881,8.0866842701443,7.96066769142854,-0.550811422933659,-0.568986921007246,-0.534128349549198,-0.55237205478778,0.998888844812821,0.999039466277964,0.998619960512478,0.998849643097274,0.120570623440775,0.0610524229570499,0.102037380928512,0.0715623617443227,252.4,250.103174603175,252.26282051282,249.726618705036,6.01351890243517,5.82392030022649,5.99710223817728,5.81745099029239,786.614193548368,506.044910556811,648.257848454967,579.723823818647,231.269677419356,207.493370496351,205.838500575281,205.067646602147,NA,0.00101192690093577,524,645,85.8778625954198,14.1221374045802
"2",2,"2","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D7",1,"STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif","STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif","/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities",14176.6424733717,306,1084,23,1067,5,1074.89787234043,13.4723404255319,1.1735759377664,252,0.417678271136635,134.351262772885,1,0.76797385620915,0.852096543410084,18.3232363516987,18.8679622641132,7.61577310586391,2.98751016527127,2.82842712474619,16,16.6484008099084,37.2111681860571,58.8700576850888,0.932539682539683,27.6055303514004,118.020150333643,0.456966176629066,0.0461363792419434,0.339453928071727,0.654544234275818,0.654544234275818,0.541284908850988,0.502213405675076,0.491399154067039,0.421644330024719,0.40142896771431,0.0680866087922284,0.0552152210246162,0.547469690442085,1074.91775150747,13.8112117698517,0,1074.89787234043,13.4723404255319,0,1071,22,0,2,4,0.045643356,0.16516434,0.33423388,0.45495844,0.893849049073951,0.924133787907304,0.981812022626399,1.05856666470518,0.0564908677878428,0.0432505049675589,0.0594925371824808,0.106694447842065,0.00376972619883398,0.00424366343891053,0.00407608695652174,0.00423241288625904,135.022099447514,255.608695652174,135.005434782609,208.679487179487,0.592336124584185,0.176448170755387,0.600326384880849,0.372479842072862,4.4756953591578,4.78962472207401,4.49678147379616,4.69550397929841,0.000284163742824847,0.000211886559466707,0.000270838289632173,0.000225792979913859,8.17106259976648,8.00476920728029,8.13294074420415,7.98085237909092,-0.452256762109561,-0.468414146324191,-0.479769169931829,-0.493670484015949,0.995773012737386,0.996255874237502,0.997047237587688,0.99732270659414,0.128245121152659,0.0809745428236639,0.117914910984209,0.0624299004953553,251.740331491713,249.708074534161,253.342391304348,251.705128205128,5.94466692130558,5.706611136781,5.7952102287813,5.74102315547167,527.396660663595,365.138382006873,540.572985586012,456.413050624586,165.604690027772,155.18676941476,168.894605092155,166.273134451025,NA,0.00126976654545147,524,645,85.8778625954198,14.1221374045802
"3",3,"3","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D7",1,"STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif","STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif","/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities",12849.4674333113,306,1131,27,1114,9,1121.34272300469,17.7793427230047,1.41103214977828,242,0.464129199198478,127.90797498545,1,0.696078431372549,0.708701074002555,18.0014650094066,17.7200451466693,5.8309518948453,2.61179289789604,2.23606797749979,16,15.9451128852879,37.8145797941843,61.4558441227157,0.880165289256198,28.8032818734646,108.127813011408,0.458451867103577,0.0456454157829285,0.295160897463287,0.640271604061127,0.640271604061127,0.533394108767863,0.507642314607549,0.514619737863541,0.429178535938263,0.412298530340195,0.0623385221624427,0.0537707706764417,0.554004997014999,1121.34600588265,18.0744853632715,0,1121.34272300469,17.7793427230047,0,1117,26,0,3,5,0.04130316,0.1507345,0.32327715,0.48468515,0.977508156249915,0.944307303165687,0.969831436872482,1.04280744989713,0.0545129496998365,0.0721164020130346,0.0857223360533641,0.0969937293176611,0.00382149901380671,0.00458202354946987,0.00379134278311233,0.00438775510204082,167.211538461538,200.759124087591,106.567901234568,237.2,0.474530327728656,0.347902654597724,0.676618814922959,0.261348235845159,4.5682625773297,4.63321499523057,4.2640823320363,4.6338728590768,0.000261985093873164,0.00024448554831877,0.0003350302623773,0.000236587793951608,8.09309452655456,7.85164604279875,8.1191408207725,7.90960524907237,-0.495609489663042,-0.526826465579492,-0.499175947029682,-0.539714124660093,0.997580872023615,0.998178221678768,0.997741128170015,0.998554243574028,0.0993541815343241,0.104979550980227,0.0904215231908746,0.0353823000009787,254.814102564103,252.686131386861,256.160493827161,256.614285714286,5.84842628048554,5.83695065251886,5.90742797519541,5.7837273280525,469.215442143322,414.974479194418,552.517451607986,405.051224489798,159.106745151219,153.933400820502,164.771338210638,160.562806122449,NA,0.0010956995726909,524,645,85.8778625954198,14.1221374045802
"4",4,"4","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D7",1,"STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif","STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif","/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities",12246.2060514657,330,1411,32,1396,10,1402.67487684729,19.6502463054187,1.52072565561863,239,0.787729543329216,124.869346989969,1,0.615151515151515,0.657580804470088,21.4738433720483,21.3775583264319,6.08276253029822,2.46710169764981,2,13.0868202732698,13.2283435943414,-4.50202786383381,62.2842712474619,0.849372384937239,22.2604132592678,80.3200797140598,0.374466687440872,0.0215190500020981,0.249928576721774,0.462938517332077,0.463192492723465,0.397507379629782,0.39566541731064,0.391956210136414,0.35498782992363,0.32803401350975,0.0264039231187367,0.0261622652894564,0.416218012571335,1402.63364569111,19.403742177214,0,1402.67487684729,19.6502463054187,0,1399,14,0,4,6,0.044236064,0.15292753,0.32197738,0.48085895,0.997768998146052,1.00142868247724,1.00556011566749,0.99606497160026,0.0348632926410284,0.0470697851377732,0.061609266022292,0.0593535274808845,0.00705951302679951,0.00567301134602269,0.00601627423822715,0.00717164128133324,26.0875912408759,63.1259842519685,36.75,27.8181818181818,0.683653058429199,0.276476179140144,0.582152896433921,0.680766312594868,3.37529113892247,3.93085740011127,3.59389199444807,3.43354121555302,0.00085930954041613,0.000545737691997946,0.000749205906902438,0.000832223993146117,7.39894859748011,7.56734787571447,7.55461121090902,7.29601589862501,-0.358336262371287,-0.333882524689674,-0.331317820974719,-0.373526083372696,0.980022290107584,0.975615451895498,0.974787253702996,0.982321136523411,0.211428592630209,0.140742280890077,0.178386344318349,0.189921068053779,201.576642335766,200.874015748031,201.578947368421,201.818181818182,5.31698500741027,5.13119775828699,5.19964719633587,5.30942253957587,138.842666098339,111.369954739923,139.151662049859,146.46280991735,41.2325643348031,43.6239847479737,43.9754155124647,43.5702479338797,NA,0.00101945050183409,524,645,85.8778625954198,14.1221374045802
"5",5,"5","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D7",1,"STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif","STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif","/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities",18097.8414553681,418,1175,32,1156,10,1163.83,20.8066666666667,1.28094572636656,325,0.70139157582027,151.798838649451,1,0.717703349282297,0.78067320060197,23.5253681342774,23.8537208837531,8,3.18962573931853,3,16.7966794446692,16.768321612561,28.6331039263572,69.4913780286485,0.923076923076923,32.6530211567879,150.558515965939,0.454828679561615,0.045899361371994,0.336780130996222,0.607341170310974,0.607341170310974,0.535295428799801,0.501861719886462,0.497358798980713,0.433309644460678,0.400633215904236,0.0563756482183349,0.0523753075684564,0.551080226898193,1163.68679850199,21.1114849528679,0,1163.83,20.8066666666667,0,1161,31,0,5,7,0.040696472,0.16187736,0.31104767,0.48637843,0.939149352220384,0.95221978776595,0.972023978829383,1.04223949568612,0.0344676682791639,0.0774177065162467,0.0879911689170754,0.0965886006609306,0.00309642372114079,0.00316332589422821,0.00319974469228702,0.00321961566627105,105.868085106383,177.552036199095,85.7991803278689,178.366834170854,0.667222144038313,0.442615893176706,0.738879947851001,0.428099457267695,4.34041090648853,4.6243949987557,4.24010387907751,4.53603484436622,0.000317000799728801,0.000283746036545938,0.000367624907657571,0.000267273009147243,8.46888295712044,8.44503180142393,8.43776925348443,8.36147443209057,-0.419436680781991,-0.420403572509185,-0.432541327589583,-0.4418029301195,0.994400883275966,0.994403259932666,0.99524035069137,0.995627825941044,0.107716238932323,0.115801072427126,0.140814188899386,0.0642197591623186,252.872340425532,251.009049773756,253.315573770492,252.618090452261,6.10797466222316,5.95234426457164,6.09767166694973,6.04714114378896,530.400724309657,459.538379640071,571.363527949477,445.401883790801,159.067202354008,159.272603959784,164.290677069335,155.942179490414,NA,0.00183148754332451,524,645,85.8778625954198,14.1221374045802
"6",6,"6","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D7",1,"STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif","STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif","/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities",15443.4913752474,357,1217,37,1200,16,1208.6328125,25.99609375,1.20588792222883,278,0.636522797109874,140.225760571093,1,0.717086834733894,0.829264462780012,20.9619881783067,21.540659228538,7.21110255092798,3.0198272984589,2.82842712474619,16,16.1670987165107,7.87576813049346,62.2842712474619,0.920863309352518,27.930703163147,125.653954952955,0.450951516628265,0.0378572344779968,0.330577522444621,0.604005813598633,0.609440565109253,0.517235243761981,0.490835761534981,0.482070326805115,0.403206706047058,0.385056912899017,0.0520432974836883,0.0488421876811831,0.532134652137756,1208.40588902683,26.2364835078272,0,1208.6328125,25.99609375,0,1201,30,0,6,8,0.045324445,0.16767123,0.32057807,0.46642628,0.966921488444006,0.953863016764322,0.976999827793666,1.03830546503482,0.0259203968703084,0.0722733009893475,0.0889960180971708,0.0879546948616822,0.00361083519020645,0.00365476076478662,0.00374681873880667,0.00379603980712014,114.611398963731,148.480225988701,81.4854368932039,152.397660818713,0.580877005314002,0.454409827652579,0.71292714332325,0.455787114777525,4.31199968505777,4.50037255274392,4.14105006486634,4.52742705151811,0.000314278676036452,0.000284853853954245,0.000402412072565135,0.000265161073516307,8.241294148611,8.20899290877894,8.21919634025851,8.1458655265565,-0.442148317767533,-0.445267384062918,-0.453179307700452,-0.458910036114091,0.995340703895914,0.995451221150059,0.995942341662324,0.99608360559045,0.095845617597849,0.0920202076566729,0.150009807889058,0.0932288327547302,247.347150259067,246.593220338983,246.980582524272,247.146198830409,5.81342805575616,5.91400066050559,5.90284257849839,5.81856426663518,432.299175816792,395.811931437333,486.213215194635,407.668684381533,136.727643695127,136.073039356506,141.924663021968,140.01658630006,NA,0.00144371688264479,524,645,85.8778625954198,14.1221374045802
"7",7,"7","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D7",1,"STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif","STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif","/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities",15262.5129606938,399,1365,35,1344,16,1353.53359683794,24.3596837944664,1.44457086715982,302,0.225879698436708,139.401703912069,1,0.634085213032581,0.692247104474776,19.0731715578856,20.8086520466848,7.28010988928052,2.85153762260469,2.23606797749979,17.9106694237798,18.5802293333631,-41.348866805797,67.7695526217005,0.837748344370861,21.5634402036667,89.0303254127502,0.303120344877243,0.0513680130243301,0.722413578825807,0.494819194078445,0.494819194078445,0.37830596848538,0.351898519417985,0.344770103693008,0.250728011131287,0.250728011131287,0.0686523875141646,0.0618600036982182,0.399651229381561,1352.88483205618,24.6774661678096,0,1353.53359683794,24.3596837944664,0,1348,32,0,7,9,0.039297048,0.15222801,0.31406334,0.49441165,0.903832104057069,0.916992552578448,0.980963273180855,1.05114409052023,0.0514540609616209,0.111213780636217,0.157031373854547,0.176121887756375,0.00335791233792933,0.00405177668614866,0.00353185595567867,0.00368512110726644,104.366492146597,59.3353293413174,70.6526315789474,264.476470588235,0.755629691302442,0.854678425445172,0.850823612092731,0.388142017026723,4.21000966548546,3.91626315376138,4.01670046369775,4.78259748195061,0.000396225676637642,0.000503515080679271,0.000483291825309412,0.000273667260137289,8.30122522854798,8.05729845412479,8.257936331981,8.16377395083086,-0.514270459708774,-0.550161711364464,-0.534600549115288,-0.521584249195357,0.998402188767912,0.998894554394895,0.998790792439067,0.998423752891383,0.0721082986735355,0.131300014943994,0.107182506242002,0.0815385024819193,176.272251308901,177.239520958084,177.242105263158,173.688235294118,6.20708305378844,6.01414445491368,6.27217873510816,6.10333634261212,749.800224774532,757.271971028011,876.583490304707,600.026332179928,213.541679230285,204.151825092325,236.809030470909,216.125700692041,NA,0.0014184135418005,524,645,85.8778625954198,14.1221374045802
"8",8,"8","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D7",1,"STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif","STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif","/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities",14719.5777170327,340,1258,43,1241,23,1249.4262295082,32.7131147540984,1.23176167173268,270,0.649823749540186,136.899775131768,1,0.717647058823529,0.811845361768185,20.5042776355365,20.2484567313166,7.61577310586391,2.9656649147596,2.82842712474619,15.2891058193982,15.5849923466075,-1.37958305461467,61.4558441227157,0.903703703703704,27.0828429162502,116.60363599658,0.434647172689438,0.0384328961372375,0.39025570722613,0.603497922420502,0.603497922420502,0.501534128078708,0.477883754084345,0.468017756938934,0.403748512268066,0.387410283088684,0.0569216529451132,0.0540252664501148,0.515254616737366,1249.03906391677,32.7621282404167,0,1249.4262295082,32.7131147540984,0,1241,33,0,8,10,0.04696143,0.15793549,0.33545414,0.459649,0.954882419357693,0.963406459987162,0.98615432790963,1.02893903824167,0.0330455958665191,0.0841403897550212,0.111623843552827,0.1122042200593,0.00329336011342155,0.00384815585960738,0.00386587771203156,0.00394110648423558,138.570652173913,158.036585365854,40.8512820512821,165.079268292683,0.582689336631491,0.539768276893142,0.890732634460743,0.530739677832798,4.47501611852963,4.45876867751054,3.67407800161457,4.49302204490967,0.000275850317387567,0.000290360341231899,0.000577493994927758,0.000272609770335159,8.32247499953527,8.11813333079802,8.19058845474197,8.08764552591997,-0.465938457272058,-0.500463942558444,-0.501953755002291,-0.507581618871442,0.996807970174218,0.997781277926686,0.9979316220527,0.997957236084929,0.0930221829440059,0.0579498415896857,0.177485932543807,0.0655254476382659,241.288043478261,240.670731707317,241.282051282051,241.530487804878,5.97574979915562,5.81411990200132,5.93983305812676,5.91921315431764,525.542030954624,528.733045806075,706.879421433252,538.492972932778,166.028170782141,171.692407792982,186.932675871136,175.893060306365,NA,0.0013434045863309,524,645,85.8778625954198,14.1221374045802
"9",9,"9","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D7",1,"STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif","STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif","/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities",10195.1173531907,342,1372,47,1354,28,1362.1775147929,35.7218934911243,1.76268960973484,212,0.620744073244948,113.933430464013,1,0.494152046783626,0.567314854797622,18.3911625720127,18.6815416922694,5.3851648071345,2.1401182172404,2,14.0497883159903,14.4189153663824,-35.871698277667,61.1837661840736,0.797169811320755,19.4258607923985,65.635025203228,0.357540130615234,0.0317706316709518,0.451480848981356,0.500253975391388,0.500253975391388,0.388517215847969,0.388372930196615,0.392895862460136,0.283438295125961,0.28133887052536,0.0538948474064731,0.0465130799609827,0.423290841281414,1361.91569511247,36.0897051439225,0,1362.1775147929,35.7218934911243,0,1355,38,0,9,11,0.03708702,0.15179795,0.285755,0.52536,1.04461771684388,1.02615414381027,1.00609575894972,0.986509311199188,0.038111987528158,0.0553406086641576,0.095732482706296,0.144345101791115,0.00589175995286592,0.00792243767313019,0.00559949878612264,0.0055386726791491,56.1926605504587,63.4105263157895,87.8672566371681,194.613861386139,0.762159860991991,0.747412688156088,0.631598587896972,0.210209854196082,3.89121281407185,3.80196985758226,4.08503070210428,4.52078082637584,0.000536913034103831,0.000602150580592173,0.000454113070521429,0.000309988214121092,7.49520370549102,7.1750158714433,7.55469223675147,7.53939960156368,-0.558703148742465,-0.618474424460875,-0.530502458276731,-0.552561486281543,0.99850146463051,0.999188715307158,0.997859480032752,0.998417431757086,0.126227886818419,0.0936951016160716,0.0796519910496781,0.0386674387053658,197.715596330275,201.221052631579,198.309734513274,195.50495049505,5.57966253558762,5.46397508174188,5.56650858256786,5.42575938458293,416.331958589341,438.677451523552,389.151852141898,298.210371532201,118.131154784953,125.521994459832,119.254777194767,123.206058229585,NA,0.000774376462688135,524,645,85.8778625954198,14.1221374045802
"10",10,"10","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities","STELLA","sA400","semiauto","500","20","B04","D7",1,"STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif","STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif","/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original","/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities",13332.0765387878,304,380,51,364,32,371.742081447964,40.9819004524887,1.5657072886251,259,0.362932998277654,130.287862299681,1,0.726973684210526,0.63868898565206,18.0593292085429,19.1049731745428,6.40312423743285,2.61671295051911,2.23606797749979,15,16.8279581541935,-20.8069003572481,65.9411254969543,0.853281853281853,21.1639078259468,84.0487814247608,0.363956913352013,0.0146535933017731,0.182342217076119,0.518590033054352,0.518590033054352,0.377926925463336,0.380311228166339,0.378767117857933,0.320821464061737,0.319263845682144,0.0424504624031192,0.0283958074856217,0.392938196659088,371.916954329643,41.0335546815643,0,371.742081447964,40.9819004524887,0,378,49,0,10,13,0.041675318,0.16695856,0.32490283,0.4664633,1.02336058724257,1.02494002175,0.997271194226211,0.991234507411718,0.0276856701440998,0.0417031160786849,0.0268604922896614,0.0690545202318425,0.00640999634873626,0.00605038682801032,0.00589965397923875,0.0064550833781603,60.796178343949,103.345070422535,56.1058823529412,47.3636363636364,0.181574678139635,-0.171203956751159,0.315279751965913,0.308599540345961,3.88658755377855,4.21003086314022,3.84494703058362,3.79473291863301,0.000566653308063964,0.000447604447084139,0.000580354025266617,0.000550516145724262,7.52552134786071,7.56253530270712,7.63857270074177,7.47714972500852,-0.31239928634362,-0.338804242406795,-0.294596151112159,-0.308377243050936,0.968680968305448,0.976862481341382,0.9636225840128,0.966709433832671,0.18245428043207,0.127222147331324,0.155995805039656,0.140824501211928,193.764331210191,194.359154929577,194.270588235294,193.797202797203,4.92903780545945,4.85477043213133,5.04959819309873,4.85959758628935,87.7724856992209,73.1315711168354,107.77384083045,89.6441879798513,37.1421660107935,44.1191603848438,40.9699307958508,34.2519560858691,NA,0.00115800516816959,524,645,85.8778625954198,14.1221374045802
