ImageNumber,ObjectNumber,FileName_original,FileName_probabilities,PathName_original,PathName_probabilities,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_original_gray,Intensity_IntegratedIntensity_original_gray,Intensity_LowerQuartileIntensity_original_gray,Intensity_MADIntensity_original_gray,Intensity_MassDisplacement_original_gray,Intensity_MaxIntensityEdge_original_gray,Intensity_MaxIntensity_original_gray,Intensity_MeanIntensityEdge_original_gray,Intensity_MeanIntensity_original_gray,Intensity_MedianIntensity_original_gray,Intensity_MinIntensityEdge_original_gray,Intensity_MinIntensity_original_gray,Intensity_StdIntensityEdge_original_gray,Intensity_StdIntensity_original_gray,Intensity_UpperQuartileIntensity_original_gray,Location_CenterMassIntensity_X_original_gray,Location_CenterMassIntensity_Y_original_gray,Location_CenterMassIntensity_Z_original_gray,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_original_gray,Location_MaxIntensity_Y_original_gray,Location_MaxIntensity_Z_original_gray,Number_Object_Number,Parent_spheroids,RadialDistribution_FracAtD_original_gray_1of4,RadialDistribution_FracAtD_original_gray_2of4,RadialDistribution_FracAtD_original_gray_3of4,RadialDistribution_FracAtD_original_gray_4of4,RadialDistribution_MeanFrac_original_gray_1of4,RadialDistribution_MeanFrac_original_gray_2of4,RadialDistribution_MeanFrac_original_gray_3of4,RadialDistribution_MeanFrac_original_gray_4of4,RadialDistribution_RadialCV_original_gray_1of4,RadialDistribution_RadialCV_original_gray_2of4,RadialDistribution_RadialCV_original_gray_3of4,RadialDistribution_RadialCV_original_gray_4of4,Texture_AngularSecondMoment_original_gray_3_00_256,Texture_AngularSecondMoment_original_gray_3_01_256,Texture_AngularSecondMoment_original_gray_3_02_256,Texture_AngularSecondMoment_original_gray_3_03_256,Texture_Contrast_original_gray_3_00_256,Texture_Contrast_original_gray_3_01_256,Texture_Contrast_original_gray_3_02_256,Texture_Contrast_original_gray_3_03_256,Texture_Correlation_original_gray_3_00_256,Texture_Correlation_original_gray_3_01_256,Texture_Correlation_original_gray_3_02_256,Texture_Correlation_original_gray_3_03_256,Texture_DifferenceEntropy_original_gray_3_00_256,Texture_DifferenceEntropy_original_gray_3_01_256,Texture_DifferenceEntropy_original_gray_3_02_256,Texture_DifferenceEntropy_original_gray_3_03_256,Texture_DifferenceVariance_original_gray_3_00_256,Texture_DifferenceVariance_original_gray_3_01_256,Texture_DifferenceVariance_original_gray_3_02_256,Texture_DifferenceVariance_original_gray_3_03_256,Texture_Entropy_original_gray_3_00_256,Texture_Entropy_original_gray_3_01_256,Texture_Entropy_original_gray_3_02_256,Texture_Entropy_original_gray_3_03_256,Texture_InfoMeas1_original_gray_3_00_256,Texture_InfoMeas1_original_gray_3_01_256,Texture_InfoMeas1_original_gray_3_02_256,Texture_InfoMeas1_original_gray_3_03_256,Texture_InfoMeas2_original_gray_3_00_256,Texture_InfoMeas2_original_gray_3_01_256,Texture_InfoMeas2_original_gray_3_02_256,Texture_InfoMeas2_original_gray_3_03_256,Texture_InverseDifferenceMoment_original_gray_3_00_256,Texture_InverseDifferenceMoment_original_gray_3_01_256,Texture_InverseDifferenceMoment_original_gray_3_02_256,Texture_InverseDifferenceMoment_original_gray_3_03_256,Texture_SumAverage_original_gray_3_00_256,Texture_SumAverage_original_gray_3_01_256,Texture_SumAverage_original_gray_3_02_256,Texture_SumAverage_original_gray_3_03_256,Texture_SumEntropy_original_gray_3_00_256,Texture_SumEntropy_original_gray_3_01_256,Texture_SumEntropy_original_gray_3_02_256,Texture_SumEntropy_original_gray_3_03_256,Texture_SumVariance_original_gray_3_00_256,Texture_SumVariance_original_gray_3_01_256,Texture_SumVariance_original_gray_3_02_256,Texture_SumVariance_original_gray_3_03_256,Texture_Variance_original_gray_3_00_256,Texture_Variance_original_gray_3_01_256,Texture_Variance_original_gray_3_02_256,Texture_Variance_original_gray_3_03_256
1,1,STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif,STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif,/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original,/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities,202,256,1036,19,1020,3,1028.2079207920792,11.178217821782178,1.0669413755855264,209,0.5348504911822862,16.03728119216293,1,0.7890625,0.9372586187795092,17.544945121447707,18.027756377319946,7.0710678118654755,2.9497623063436316,2.8284271247461903,14.142135623730951,14.824543754491566,-42.980204527974564,52.04163056034261,0.9665071770334929,24.29740682244301,101.20224088430405,0.447819322347641,0.04933628439903259,0.38756111192170695,0.6604869365692139,0.6604869365692139,0.5399423738320669,0.5010011924965547,0.496817022562027,0.3998713493347168,0.3998713493347168,0.07709115428895419,0.060656124464233456,0.5478379428386688,1028.162143152221,11.5630658738274,0.0,1028.2079207920792,11.178217821782178,0,1025.0,18.0,0.0,1,3,0.04736099,0.17228334,0.33882892,0.44152674,0.869720001789653,0.9158219467652461,0.9919339435687956,1.0617666861840651,0.02177732532215557,0.046455501583237385,0.07242863180832797,0.12213127060149889,0.004037460978147763,0.004409171075837742,0.0038420447074293223,0.004218208167279127,138.4645161290323,323.9285714285714,175.09615384615384,240.54676258992802,0.7006427351953409,0.21942428653578402,0.5746758906696463,0.41349411626932975,4.435746951879357,4.96962136898487,4.635221789208213,4.76771546569482,0.0002809795606613896,0.00017743248772574476,0.00025287007535528254,0.0002060101867309408,8.037414727854884,7.866168812388805,8.0866842701443,7.960667691428544,-0.5508114229336591,-0.5689869210072463,-0.5341283495491984,-0.5523720547877804,0.9988888448128214,0.9990394662779644,0.9986199605124781,0.9988496430972742,0.12057062344077471,0.06105242295704992,0.10203738092851247,0.07156236174432275,252.40000000000003,250.1031746031746,252.2628205128205,249.72661870503597,6.013518902435168,5.823920300226488,5.997102238177279,5.817450990292386,786.6141935483683,506.0449105568114,648.2578484549667,579.7238238186474,231.2696774193555,207.49337049635142,205.8385005752807,205.06764660214685
1,2,STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif,STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif,/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original,/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities,235,306,1084,23,1067,5,1074.8978723404255,13.472340425531915,1.1735759377664032,252,0.41767827113663525,17.297725082009,1,0.7679738562091504,0.8520965434100839,18.32323635169867,18.867962264113206,7.615773105863909,2.9875101652712743,2.8284271247461903,16.0,16.648400809908356,37.21116818605705,58.87005768508881,0.9325396825396826,27.605530351400375,118.02015033364296,0.45696617662906647,0.04613637924194336,0.3394539280717268,0.6545442342758179,0.6545442342758179,0.5412849088509878,0.5022134056750764,0.4913991540670395,0.42164433002471924,0.4014289677143097,0.06808660879222839,0.055215221024616186,0.5474696904420853,1074.9177515074662,13.811211769851692,0.0,1074.8978723404255,13.472340425531915,0,1071.0,22.0,0.0,2,4,0.045643356,0.16516434,0.33423388,0.45495844,0.8938490490739506,0.924133787907304,0.9818120226263993,1.0585666647051815,0.05649086778784279,0.043250504967558896,0.05949253718248081,0.10669444784206517,0.003769726198833979,0.004243663438910535,0.004076086956521739,0.00423241288625904,135.02209944751382,255.60869565217388,135.0054347826087,208.67948717948718,0.5923361245841848,0.176448170755387,0.600326384880849,0.3724798420728617,4.4756953591578,4.7896247220740085,4.496781473796162,4.695503979298412,0.00028416374282484665,0.00021188655946670676,0.00027083828963217276,0.00022579297991385914,8.171062599766481,8.004769207280287,8.132940744204147,7.980852379090923,-0.45225676210956106,-0.46841414632419115,-0.4797691699318295,-0.4936704840159493,0.9957730127373864,0.9962558742375018,0.9970472375876881,0.9973227065941396,0.12824512115265937,0.0809745428236639,0.11791491098420895,0.06242990049535528,251.7403314917127,249.70807453416145,253.3423913043478,251.7051282051282,5.944666921305584,5.7066111367809995,5.795210228781304,5.741023155471675,527.396660663595,365.13838200687314,540.5729855860118,456.4130506245856,165.60469002777245,155.18676941476042,168.89460509215496,166.27313445102482
1,3,STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif,STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif,/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original,/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities,213,306,1131,27,1114,9,1121.3427230046948,17.779342723004696,1.4110321497782787,242,0.46412919919847845,16.46815177937675,1,0.696078431372549,0.7087010740025549,18.001465009406644,17.72004514666935,5.830951894845301,2.611792897896039,2.23606797749979,16.0,15.945112885287857,37.81457979418435,61.4558441227157,0.8801652892561983,28.803281873464584,108.12781301140785,0.45845186710357666,0.04564541578292847,0.29516089746328716,0.6402716040611267,0.6402716040611267,0.5333941087678626,0.5076423146075486,0.5146197378635406,0.42917853593826294,0.4122985303401947,0.06233852216244275,0.053770770676441655,0.5540049970149994,1121.346005882652,18.074485363271485,0.0,1121.3427230046948,17.779342723004696,0,1117.0,26.0,0.0,3,5,0.04130316,0.1507345,0.32327715,0.48468515,0.9775081562499154,0.9443073031656869,0.9698314368724817,1.0428074498971298,0.05451294969983651,0.0721164020130346,0.08572233605336407,0.09699372931766115,0.0038214990138067057,0.00458202354946987,0.0037913427831123303,0.004387755102040816,167.21153846153845,200.75912408759126,106.5679012345679,237.20000000000002,0.4745303277286557,0.3479026545977243,0.6766188149229593,0.26134823584515887,4.5682625773297,4.6332149952305715,4.264082332036298,4.633872859076799,0.00026198509387316424,0.00024448554831877045,0.0003350302623773001,0.00023658779395160803,8.093094526554555,7.851646042798749,8.119140820772504,7.909605249072372,-0.4956094896630416,-0.5268264655794921,-0.49917594702968204,-0.5397141246600927,0.9975808720236151,0.9981782216787678,0.9977411281700154,0.9985542435740276,0.0993541815343241,0.10497955098022721,0.09042152319087463,0.03538230000097867,254.81410256410257,252.6861313868613,256.1604938271605,256.6142857142857,5.848426280485542,5.83695065251886,5.907427975195411,5.7837273280525014,469.21544214332243,414.97447919441765,552.517451607986,405.0512244897982,159.106745151219,153.93340082050236,164.77133821063762,160.56280612244882
1,4,STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif,STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif,/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original,/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities,203,330,1411,32,1396,10,1402.6748768472905,19.65024630541872,1.520725655618629,239,0.7877295433292162,16.07692842495848,1,0.6151515151515151,0.6575808044700879,21.47384337204825,21.37755832643195,6.082762530298219,2.467101697649812,2.0,13.086820273269778,13.228343594341437,-4.502027863833811,62.2842712474619,0.8493723849372385,22.260413259267807,80.32007971405983,0.3744666874408722,0.021519050002098083,0.24992857672177415,0.462938517332077,0.46319249272346497,0.3975073796297823,0.39566541731063953,0.3919562101364136,0.35498782992362976,0.32803401350975037,0.026403923118736666,0.02616226528945638,0.41621801257133484,1402.6336456911074,19.40374217721399,0.0,1402.6748768472905,19.65024630541872,0,1399.0,14.0,0.0,4,6,0.044236064,0.15292753,0.32197738,0.48085895,0.9977689981460521,1.001428682477242,1.0055601156674892,0.9960649716002595,0.03486329264102836,0.047069785137773164,0.06160926602229199,0.05935352748088446,0.0070595130267995096,0.005673011346022691,0.006016274238227147,0.007171641281333242,26.087591240875916,63.1259842519685,36.75,27.81818181818182,0.6836530584291991,0.2764761791401436,0.5821528964339211,0.6807663125948678,3.3752911389224725,3.9308574001112704,3.5938919944480716,3.4335412155530154,0.0008593095404161298,0.000545737691997946,0.0007492059069024384,0.0008322239931461167,7.398948597480108,7.567347875714472,7.554611210909019,7.296015898625006,-0.3583362623712865,-0.3338825246896739,-0.33131782097471946,-0.37352608337269627,0.9800222901075841,0.9756154518954977,0.9747872537029961,0.9823211365234115,0.21142859263020902,0.14074228089007673,0.1783863443183489,0.18992106805377884,201.57664233576645,200.87401574803147,201.57894736842104,201.8181818181818,5.316985007410267,5.1311977582869925,5.199647196335872,5.309422539575874,138.84266609833867,111.36995473992283,139.15166204985871,146.46280991734966,41.2325643348031,43.623984747973736,43.97541551246468,43.57024793387973
1,5,STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif,STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif,/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original,/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities,300,418,1175,32,1156,10,1163.83,20.80666666666667,1.2809457263665636,325,0.7013915758202701,19.544100476116796,1,0.7177033492822966,0.7806732006019695,23.525368134277414,23.853720883753127,8.0,3.189625739318531,3.0,16.79667944466919,16.768321612561003,28.633103926357226,69.49137802864846,0.9230769230769231,32.65302115678787,150.55851596593857,0.454828679561615,0.04589936137199402,0.33678013099622234,0.6073411703109741,0.6073411703109741,0.5352954287998012,0.5018617198864619,0.4973587989807129,0.4333096444606781,0.40063321590423584,0.05637564821833491,0.052375307568456445,0.5510802268981934,1163.686798501994,21.11148495286794,0.0,1163.83,20.80666666666667,0,1161.0,31.0,0.0,5,7,0.040696472,0.16187736,0.31104767,0.48637843,0.9391493522203838,0.9522197877659504,0.9720239788293832,1.0422394956861218,0.03446766827916385,0.07741770651624667,0.08799116891707535,0.09658860066093058,0.0030964237211407878,0.003163325894228211,0.00319974469228702,0.003219615666271054,105.868085106383,177.55203619909503,85.79918032786885,178.36683417085425,0.6672221440383135,0.44261589317670624,0.7388799478510013,0.42809945726769494,4.3404109064885255,4.6243949987557045,4.240103879077512,4.5360348443662195,0.0003170007997288009,0.0002837460365459383,0.0003676249076575708,0.00026727300914724297,8.468882957120442,8.445031801423934,8.437769253484426,8.361474432090567,-0.419436680781991,-0.4204035725091846,-0.4325413275895834,-0.44180293011949984,0.9944008832759661,0.994403259932666,0.9952403506913704,0.995627825941044,0.10771623893232342,0.11580107242712563,0.14081418889938635,0.06421975916231859,252.8723404255319,251.00904977375563,253.3155737704918,252.61809045226133,6.107974662223164,5.952344264571639,6.097671666949726,6.0471411437889575,530.4007243096567,459.53837964007107,571.3635279494774,445.40188379080064,159.06720235400826,159.27260395978374,164.2906770693353,155.94217949041376
1,6,STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif,STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif,/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original,/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities,256,357,1217,37,1200,16,1208.6328125,25.99609375,1.2058879222288348,278,0.6365227971098741,18.0540666735282,1,0.7170868347338936,0.8292644627800124,20.961988178306747,21.540659228538015,7.211102550927978,3.019827298458896,2.8284271247461903,16.0,16.167098716510736,7.875768130493457,62.2842712474619,0.920863309352518,27.930703163146973,125.65395495295525,0.4509515166282654,0.037857234477996826,0.3305775224446212,0.6040058135986328,0.6094405651092529,0.5172352437619809,0.49083576153498143,0.48207032680511475,0.4032067060470581,0.38505691289901733,0.052043297483688314,0.04884218768118306,0.5321346521377563,1208.405889026826,26.236483507827206,0.0,1208.6328125,25.99609375,0,1201.0,30.0,0.0,6,8,0.045324445,0.16767123,0.32057807,0.46642628,0.9669214884440058,0.9538630167643217,0.9769998277936657,1.038305465034816,0.025920396870308365,0.0722733009893475,0.08899601809717078,0.08795469486168218,0.003610835190206449,0.00365476076478662,0.0037468187388066732,0.003796039807120139,114.61139896373057,148.48022598870057,81.48543689320387,152.39766081871343,0.5808770053140024,0.45440982765257903,0.7129271433232496,0.45578711477752487,4.311999685057772,4.500372552743919,4.141050064866343,4.5274270515181145,0.0003142786760364517,0.0002848538539542452,0.0004024120725651355,0.000265161073516307,8.241294148610995,8.208992908778942,8.219196340258508,8.1458655265565,-0.4421483177675334,-0.44526738406291777,-0.4531793077004516,-0.45891003611409104,0.995340703895914,0.9954512211500586,0.9959423416623238,0.9960836055904496,0.09584561759784904,0.09202020765667292,0.1500098078890577,0.09322883275473023,247.34715025906738,246.59322033898303,246.98058252427182,247.14619883040933,5.813428055756161,5.914000660505595,5.90284257849839,5.818564266635177,432.29917581679183,395.81193143733253,486.21321519463527,407.66868438153324,136.72764369512697,136.07303935650634,141.92466302196772,140.01658630006023
1,7,STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif,STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif,/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original,/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities,253,399,1365,35,1344,16,1353.5335968379447,24.359683794466402,1.4445708671598176,302,0.22587969843670824,17.94796937867892,1,0.6340852130325815,0.692247104474776,19.073171557885555,20.808652046684813,7.280109889280518,2.851537622604692,2.23606797749979,17.910669423779805,18.58022933336315,-41.348866805797016,67.76955262170047,0.8377483443708609,21.563440203666687,89.03032541275024,0.30312034487724304,0.05136801302433014,0.7224135788258066,0.49481919407844543,0.49481919407844543,0.37830596848538045,0.35189851941798517,0.3447701036930084,0.2507280111312866,0.2507280111312866,0.06865238751416457,0.06186000369821816,0.3996512293815613,1352.8848320561754,24.67746616780959,0.0,1353.5335968379447,24.359683794466402,0,1348.0,32.0,0.0,7,9,0.039297048,0.15222801,0.31406334,0.49441165,0.903832104057069,0.9169925525784479,0.980963273180855,1.0511440905202332,0.051454060961620904,0.11121378063621676,0.15703137385454707,0.1761218877563748,0.0033579123379293336,0.004051776686148661,0.0035318559556786703,0.0036851211072664353,104.36649214659688,59.335329341317376,70.65263157894736,264.4764705882353,0.755629691302442,0.8546784254451716,0.8508236120927314,0.3881420170267233,4.2100096654854635,3.9162631537613786,4.0167004636977515,4.782597481950608,0.0003962256766376423,0.0005035150806792707,0.000483291825309412,0.0002736672601372886,8.301225228547981,8.057298454124789,8.257936331980998,8.163773950830858,-0.5142704597087736,-0.5501617113644637,-0.5346005491152884,-0.5215842491953566,0.9984021887679123,0.9988945543948949,0.9987907924390665,0.9984237528913827,0.07210829867353555,0.13130001494399418,0.10718250624200187,0.0815385024819193,176.27225130890054,177.23952095808383,177.2421052631579,173.68823529411765,6.2070830537884385,6.014144454913678,6.272178735108164,6.103336342612122,749.8002247745317,757.2719710280107,876.5834903047071,600.0263321799284,213.5416792302849,204.15182509232545,236.8090304709085,216.1257006920414
1,8,STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif,STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif,/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original,/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities,244,340,1258,43,1241,23,1249.4262295081967,32.71311475409836,1.231761671732678,270,0.6498237495401864,17.625846048215095,1,0.7176470588235294,0.8118453617681848,20.504277635536518,20.248456731316587,7.615773105863909,2.9656649147596044,2.8284271247461903,15.289105819398227,15.584992346607539,-1.3795830546146668,61.45584412271571,0.9037037037037037,27.08284291625023,116.60363599658012,0.43464717268943787,0.03843289613723755,0.39025570722613034,0.6034979224205017,0.6034979224205017,0.5015341280787079,0.47788375408434475,0.4680177569389343,0.4037485122680664,0.3874102830886841,0.05692165294511321,0.05402526645011479,0.5152546167373657,1249.0390639167742,32.76212824041668,0.0,1249.4262295081967,32.71311475409836,0,1241.0,33.0,0.0,8,10,0.04696143,0.15793549,0.33545414,0.459649,0.9548824193576929,0.9634064599871623,0.9861543279096299,1.0289390382416745,0.03304559586651906,0.08414038975502118,0.11162384355282663,0.11220422005929992,0.00329336011342155,0.0038481558596073764,0.003865877712031558,0.003941106484235575,138.570652173913,158.03658536585368,40.851282051282055,165.07926829268294,0.5826893366314911,0.5397682768931417,0.8907326344607426,0.5307396778327977,4.475016118529625,4.458768677510539,3.6740780016145678,4.493022044909674,0.0002758503173875667,0.00029036034123189894,0.0005774939949277581,0.0002726097703351593,8.322474999535274,8.11813333079802,8.190588454741969,8.08764552591997,-0.4659384572720576,-0.5004639425584435,-0.5019537550022911,-0.5075816188714416,0.9968079701742177,0.9977812779266857,0.9979316220527001,0.9979572360849286,0.0930221829440059,0.05794984158968575,0.17748593254380715,0.06552544763826591,241.28804347826087,240.67073170731706,241.2820512820513,241.53048780487805,5.9757497991556185,5.814119902001321,5.939833058126755,5.919213154317644,525.5420309546244,528.7330458060751,706.879421433252,538.4929729327778,166.0281707821414,171.6924077929816,186.93267587113587,175.89306030636544
1,9,STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif,STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif,/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original,/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities,169,342,1372,47,1354,28,1362.1775147928995,35.72189349112426,1.7626896097348443,212,0.6207440732449475,14.668929172241665,1,0.49415204678362573,0.5673148547976219,18.391162572012686,18.681541692269406,5.385164807134504,2.1401182172403983,2.0,14.049788315990314,14.418915366382413,-35.87169827766703,61.18376618407356,0.7971698113207547,19.425860792398453,65.635025203228,0.3575401306152344,0.03177063167095184,0.45148084898135643,0.5002539753913879,0.5002539753913879,0.38851721584796906,0.38837293019661534,0.3928958624601364,0.2834382951259613,0.2813388705253601,0.0538948474064731,0.04651307996098274,0.42329084128141403,1361.915695112465,36.08970514392246,0.0,1362.1775147928995,35.72189349112426,0,1355.0,38.0,0.0,9,11,0.03708702,0.15179795,0.285755,0.52536,1.0446177168438766,1.0261541438102706,1.0060957589497161,0.9865093111991877,0.03811198752815803,0.05534060866415757,0.09573248270629604,0.14434510179111473,0.005891759952865921,0.007922437673130193,0.005599498786122641,0.005538672679149104,56.19266055045872,63.41052631578947,87.86725663716814,194.6138613861386,0.7621598609919913,0.7474126881560881,0.6315985878969724,0.21020985419608226,3.89121281407185,3.801969857582259,4.0850307021042775,4.520780826375841,0.0005369130341038306,0.0006021505805921729,0.0004541130705214295,0.00030998821412109236,7.495203705491023,7.1750158714432954,7.554692236751471,7.539399601563677,-0.558703148742465,-0.6184744244608747,-0.5305024582767308,-0.552561486281543,0.9985014646305103,0.9991887153071585,0.9978594800327525,0.9984174317570862,0.126227886818419,0.0936951016160716,0.07965199104967814,0.03866743870536582,197.71559633027525,201.22105263157894,198.30973451327435,195.5049504950495,5.579662535587618,5.463975081741879,5.5665085825678595,5.425759384582933,416.3319585893405,438.677451523552,389.1518521418984,298.21037153220095,118.13115478495274,125.52199445983206,119.25477719476658,123.20605822958532
1,10,STELLA_sA400_semiauto_Merge_500-20_B04_D7.tif,STELLA_sA400_semiauto_Merge_500-20_B04_D7_Probabilities_ch2.tif,/home/host_home/figures/automated_image_analysis/semi_automated/stella/input/original,/home/host_home/figures/automated_image_analysis/semi_automated/stella/output/images/STELLA_sA400_semiauto_Merge_500-20_B04_D7/ilastik/probabilities,221,304,380,51,364,32,371.7420814479638,40.98190045248869,1.5657072886250967,259,0.3629329982776543,16.774562271083887,1,0.7269736842105263,0.6386889856520599,18.059329208542913,19.1049731745428,6.4031242374328485,2.616712950519112,2.23606797749979,15.0,16.82795815419354,-20.80690035724807,65.94112549695427,0.8532818532818532,21.163907825946808,84.04878142476082,0.36395691335201263,0.014653593301773071,0.1823422170761189,0.5185900330543518,0.5185900330543518,0.37792692546333584,0.38031122816633856,0.37876711785793304,0.32082146406173706,0.31926384568214417,0.04245046240311917,0.02839580748562175,0.39293819665908813,371.91695432964315,41.03355468156434,0.0,371.7420814479638,40.98190045248869,0,378.0,49.0,0.0,10,13,0.041675318,0.16695856,0.32490283,0.4664633,1.0233605872425713,1.0249400217499984,0.9972711942262112,0.9912345074117179,0.027685670144099755,0.04170311607868492,0.026860492289661426,0.06905452023184251,0.006409996348736258,0.006050386828010315,0.005899653979238754,0.006455083378160302,60.79617834394904,103.34507042253523,56.10588235294118,47.363636363636374,0.1815746781396351,-0.17120395675115943,0.31527975196591307,0.30859954034596143,3.88658755377855,4.21003086314022,3.844947030583615,3.7947329186330125,0.0005666533080639642,0.00044760444708413907,0.0005803540252666166,0.0005505161457242622,7.525521347860709,7.562535302707119,7.638572700741774,7.477149725008524,-0.31239928634362013,-0.33880424240679474,-0.2945961511121591,-0.3083772430509359,0.9686809683054484,0.9768624813413816,0.9636225840128,0.9667094338326712,0.18245428043206982,0.12722214733132414,0.15599580503965638,0.14082450121192785,193.76433121019107,194.35915492957747,194.27058823529413,193.7972027972028,4.929037805459453,4.8547704321313345,5.049598193098735,4.859597586289348,87.77248569922085,73.1315711168354,107.77384083045035,89.64418797985127,37.14216601079352,44.11916038484378,40.969930795850814,34.2519560858691
