,nr,perimeter,wellwidth,X1,Y1,X2,Y2,X3,Y3,X4,Y4
0,7.0,124.25699996948242,31.064249992370605,363.0,1160.0,396.0,1160.0,396.0,1191.0,367.0,1191.0
1,9.0,124.20215797424316,31.05053949356079,314.0,1158.0,347.0,1157.0,348.0,1188.0,317.0,1187.0
2,16.0,134.20433807373047,33.55108451843262,821.0,1129.0,856.0,1127.0,856.0,1159.0,822.0,1162.0
3,18.0,126.27836227416992,31.56959056854248,1027.0,1128.0,1062.0,1130.0,1061.0,1157.0,1029.0,1160.0
4,19.0,129.79147338867188,32.44786834716797,927.0,1127.0,961.0,1132.0,957.0,1161.0,924.0,1160.0
5,20.0,130.58870887756348,32.64717721939087,876.0,1127.0,909.0,1130.0,906.0,1161.0,872.0,1159.0
6,21.0,136.1974983215332,34.0493745803833,768.0,1129.0,804.0,1126.0,804.0,1159.0,769.0,1161.0
7,24.0,130.52835845947266,32.632089614868164,979.0,1127.0,1012.0,1128.0,1008.0,1160.0,975.0,1159.0
8,25.0,135.54730606079102,33.886826515197754,718.0,1126.0,754.0,1127.0,750.0,1161.0,716.0,1157.0
9,27.0,135.25156021118164,33.81289005279541,701.0,1125.0,699.0,1159.0,664.0,1156.0,666.0,1125.0
10,28.0,136.34937286376953,34.08734321594238,613.0,1124.0,648.0,1124.0,646.0,1159.0,611.0,1155.0
11,30.0,135.36872100830078,33.842180252075195,562.0,1121.0,596.0,1122.0,594.0,1157.0,560.0,1153.0
12,32.0,133.22517776489258,33.306294441223145,544.0,1119.0,545.0,1153.0,513.0,1154.0,510.0,1121.0
13,33.0,133.46456146240234,33.366140365600586,461.0,1117.0,495.0,1118.0,493.0,1153.0,460.0,1148.0
14,35.0,129.72488403320312,32.43122100830078,412.0,1114.0,445.0,1117.0,442.0,1150.0,410.0,1145.0
15,37.0,129.84247970581055,32.46061992645264,362.0,1111.0,396.0,1114.0,393.0,1147.0,361.0,1141.0
16,38.0,125.34508895874023,31.33627223968506,314.0,1108.0,345.0,1110.0,344.0,1143.0,314.0,1139.0
17,40.0,121.35677719116211,30.339194297790527,267.0,1105.0,297.0,1107.0,296.0,1139.0,267.0,1135.0
18,46.0,130.3999080657959,32.599977016448975,1081.0,1077.0,1115.0,1080.0,1112.0,1111.0,1079.0,1109.0
19,47.0,129.23238563537598,32.308096408843994,1028.0,1079.0,1063.0,1080.0,1064.0,1109.0,1031.0,1111.0
20,48.0,131.25984954833984,32.81496238708496,978.0,1080.0,1010.0,1078.0,1013.0,1110.0,978.0,1112.0
21,49.0,133.434326171875,33.35858154296875,927.0,1079.0,958.0,1077.0,962.0,1110.0,927.0,1113.0
22,50.0,120.89987564086914,30.224968910217285,1130.0,1078.0,1163.0,1085.0,1165.0,1107.0,1131.0,1109.0
23,51.0,136.2657012939453,34.06642532348633,877.0,1077.0,911.0,1079.0,909.0,1112.0,874.0,1111.0
24,52.0,127.14616966247559,31.786542415618896,1180.0,1077.0,1215.0,1078.0,1213.0,1106.0,1180.0,1108.0
25,53.0,137.21985244750977,34.30496311187744,824.0,1077.0,858.0,1078.0,856.0,1112.0,821.0,1111.0
26,54.0,139.21441650390625,34.80360412597656,772.0,1076.0,806.0,1077.0,804.0,1112.0,769.0,1111.0
27,56.0,141.09954452514648,35.27488613128662,752.0,1074.0,753.0,1110.0,718.0,1111.0,717.0,1076.0
28,57.0,135.48611450195312,33.87152862548828,666.0,1075.0,701.0,1077.0,698.0,1111.0,664.0,1107.0
29,60.0,138.17205047607422,34.543012619018555,612.0,1075.0,647.0,1072.0,648.0,1107.0,613.0,1108.0
30,61.0,137.30541610717773,34.326354026794434,595.0,1070.0,595.0,1107.0,562.0,1106.0,560.0,1074.0
31,63.0,122.44215965270996,30.61053991317749,1358.0,1069.0,1353.0,1098.0,1323.0,1098.0,1323.0,1070.0
32,64.0,136.1470489501953,34.03676223754883,543.0,1068.0,545.0,1103.0,511.0,1104.0,510.0,1070.0
33,67.0,135.54398727416992,33.88599681854248,460.0,1067.0,494.0,1069.0,492.0,1104.0,458.0,1099.0
34,69.0,131.1381378173828,32.7845344543457,409.0,1066.0,442.0,1066.0,444.0,1098.0,411.0,1099.0
35,70.0,132.45278549194336,33.11319637298584,361.0,1063.0,395.0,1064.0,392.0,1098.0,359.0,1094.0
36,72.0,127.54952239990234,31.887380599975586,312.0,1060.0,345.0,1063.0,342.0,1095.0,311.0,1091.0
37,74.0,124.5753059387207,31.143826484680176,263.0,1058.0,294.0,1058.0,294.0,1092.0,263.0,1086.0
38,75.0,120.63275527954102,30.158188819885254,245.0,1053.0,248.0,1087.0,220.0,1085.0,216.0,1056.0
39,79.0,133.4040412902832,33.3510103225708,1084.0,1027.0,1117.0,1031.0,1116.0,1062.0,1081.0,1061.0
40,80.0,133.41524124145508,33.35381031036377,1031.0,1028.0,1063.0,1029.0,1067.0,1060.0,1032.0,1063.0
41,81.0,133.64189910888672,33.41047477722168,982.0,1027.0,1010.0,1030.0,1013.0,1063.0,977.0,1063.0
42,82.0,129.3100929260254,32.32752323150635,1133.0,1028.0,1167.0,1032.0,1168.0,1059.0,1133.0,1061.0
43,83.0,138.26057052612305,34.56514263153076,961.0,1026.0,964.0,1061.0,928.0,1063.0,929.0,1028.0
44,84.0,140.25097274780273,35.062743186950684,879.0,1026.0,912.0,1027.0,911.0,1062.0,875.0,1062.0
45,85.0,126.58412551879883,31.646031379699707,1183.0,1026.0,1217.0,1032.0,1217.0,1057.0,1183.0,1059.0
46,86.0,125.3106575012207,31.327664375305176,1232.0,1025.0,1266.0,1029.0,1266.0,1055.0,1233.0,1057.0
47,87.0,140.25898361206055,35.06474590301514,825.0,1026.0,860.0,1027.0,858.0,1062.0,822.0,1060.0
48,88.0,122.29896354675293,30.574740886688232,1282.0,1024.0,1314.0,1024.0,1313.0,1052.0,1283.0,1056.0
49,89.0,142.25285720825195,35.56321430206299,806.0,1024.0,807.0,1060.0,772.0,1062.0,770.0,1027.0
50,90.0,143.09756469726562,35.774391174316406,719.0,1024.0,754.0,1025.0,753.0,1061.0,717.0,1060.0
51,91.0,140.25104904174805,35.06276226043701,700.0,1022.0,701.0,1058.0,665.0,1058.0,664.0,1026.0
52,92.0,139.4150505065918,34.85376262664795,613.0,1023.0,649.0,1023.0,646.0,1059.0,611.0,1055.0
